#ObservationID, RA, DEC
A03_093T01_9000001156, 11:17:45.35, -19:03:17.3
A03_102T01_9000001202, 08:51:30.00, +63:07:48.00
A03_103T01_9000001132, 09:12:03.07, -64:50:18.3
A03_106T01_9000001130, 05:38:56.299, -64:05:03.00
A03_106T01_9000001190, 05:38:56.299, -64:05:03.00
A03_112T01_9000001488, 03:12:16.21, -55:12:58.4
A03_120T01_9000001266, 13:42:8.386, 35:39:15.260
A03_127T02_9000001522, 5:46:46.540, -71:8:53.902
A03_135T01_9000001226, 12:52:12.461, -13:24:52.992
A04_010T01_9000002046, 11:39:11.6, 19:38:46.000
A04_010T02_9000002048, 11:44:27.10, 19:52:49.00
A04_011T07_9000002172, 15:17:24.400, -21:0:36.400
A04_011T09_9000002202, 17:17:7.390, 43:8:9.398
A04_012T01_9000002012, 10:21:45.101, 18:05:17.196
A04_012T02_9000002050, 12:31:37.000, 20:28:05.000
A04_021T02_9000001676, 0:41:23.03, 40:57:08.70
A04_021T03_9000001678, 0:40:42.16, 41:19:12.47
A04_021T04_9000001682, 0:41:59.45, 41:37:31.59
A04_021T05_9000001686, 0:43:24.74, 40:51:8.39
A04_021T06_9000001688, 0:44:53.14, 41:09:39.98
A04_022T02_9000001662, 0:45:27.20, 41:52:58.89
A04_022T02_9000002184, 0:45:27.20, 41:52:58.89
A04_022T04_9000001746, 0:43:20.03, 41:55:59.65
A04_022T05_9000001690, 0:44:44.39, 42:15:30.58
A04_022T06_9000002182, 0:47:41.34, 41:51:30.53
A04_022T07_9000001748, 0:46:22.88, 41:32:09.42
A04_023T01_9000001842, 11:40:16.897, 17:43:40.480
A04_023T02_9000002124, 12:29:43.919, 11:24:16.884
A04_026T01_9000001712, 06:42:55.140, +55:28:27.24
A04_026T01_9000002342, 06:42:55.140, +55:28:27.24
A04_026T04_9000001714, 07:14:52.06, +68:48:15.37
A04_026T04_9000002060, 07:14:52.06, +68:48:15.37
A04_037T01_9000001716, 03:35:36.0, -35:15:00
A04_037T01_9000002312, 03:35:36.0, -35:15:00
A04_037T02_9000001718, 03:40:09.2, -35:37:23
A04_037T02_9000002310, 03:40:09.2, -35:37:23
A04_037T03_9000001722, 03:23:00, -36:24:00
A04_038T02_9000002068, 09:20:57.07, -77:16:54.8
A04_043T01_9000002156, 20:34:52.322, 60:9:14.076
A04_049T01_9000001632, 23:47:04.83, +51:42:17.88
A04_049T01_9000001710, 23:47:04.83, +51:42:17.88
A04_049T01_9000001754, 23:47:04.83, +51:42:17.88
A04_049T01_9000002266, 23:47:04.83, +51:42:17.88
A04_053T01_9000001610, 22:56:41.251, -36:46:21.792
A04_053T03_9000001612, 23:2:14.208, -37:5:1.428
A04_053T04_9000001614, 23:17:39.550, -34:47:26.916
A04_053T05_9000001936, 14:57:45.710, 71:40:56.388
A04_054T02_9000001674, 02:04:37.2, -18:01:07
A04_058T02_9000001626, 00:20:23.57, +59:12:22.66
A04_066T01_9000001802, 02:07:46, -74:32:58
A04_067T01_9000001926, 12:28:15.280, 44:27:10.901
A04_075T02_9000002158, 21:45:10.01, 65:46:18.012
A04_075T03_9000001780, 7:52:1.15, -38:28:51.00
A04_075T04_9000002160, 20:34:58.01, +28:26:13.00
A04_075T05_9000002066, 7:38:22.9, 21:34:23.88
A04_080T01_9000001644, 00:19:17, -18:47:55
A04_080T02_9000001646, 00:17:30, -17:49:18
A04_080T03_9000001650, 00:31:04.29, -46:22:51.3
A04_082T01_9000001772, 4:49:24.689, -43:50:8.916
A04_085T01_9000001996, 10:19:20.827, 49:7:1.020
A04_085T02_9000001846, 10:27:0.401, 17:49:0.900
A04_088T05_9000001764, 2:3:48.497, 29:59:24.036
A04_089T01_9000002146, 22:17:55.385, -8:21:3.780
A04_094T01_9000001942, 14:28:32.62, 42:40:21.00
A04_100T01_9000002336, 05:54:53.6, +46:26:22
A04_101T01_9000001984, 15:12:50.533, -9:5:59.830
A04_101T01_9000002170, 15:12:50.533, -9:5:59.830
A04_104T02_9000001838, 11:6:47.494, 72:34:6.700
A04_104T03_9000002348, 20:44:9.768, -10:43:24.445
A04_104T04_9000001966, 14:17:59.513, 25:8:12.450
A04_110T04_9000001886, 13:53:3.446, 69:18:29.556
A04_112T01_9000001698, 05:38:56.29, -64:05:03.00
A04_112T01_9000001778, 05:38:56.29, -64:05:03.00
A04_112T01_9000001884, 05:38:56.29, -64:05:03.00
A04_113T01_9000001604, 22:33:54.46, -40:55:51.3
A04_113T02_9000001606, 23:02:48.05, -40:50:10.2
A04_113T03_9000001738, 23:18:54.80, -42:14:21.0
A04_115T02_9000002042, 12:30:49.423, 12:23:28.044
A04_116T01_9000001896, 5:28:44.830, -65:26:54.856
A04_124T01_9000001766, 11:45:16.022, 79:40:53.436
A04_130T01_9000001572, 02:32:48.615, +20:17:17.48
A04_130T01_9000001762, 02:32:48.615, +20:17:17.48
A04_130T01_9000001792, 02:32:48.615, +20:17:17.48
A04_130T01_9000001822, 02:32:48.615, +20:17:17.48
A04_130T03_9000001602, 21:58:52.065, -30:13:32.12
A04_130T03_9000002108, 21:58:52.065, -30:13:32.12
A04_130T03_9000002186, 21:58:52.065, -30:13:32.12
A04_137T01_9000001654, 00:06:19.58, 20:12:10.44
A04_137T01_9000001700, 00:06:19.58, 20:12:10.44
A04_141T01_9000001848, 5:19:49.721, -45:46:43.788
A04_143T01_9000002344, 2:30:5.543, -8:59:53.550
A04_144T01_9000001652, 04:18:21.3, 38:01:36.0
A04_145T01_9000001756, 01:23:19.51, +57:38:54.96
A04_145T02_9000001790, 02:21:59.15, +70:55:53
A04_145T03_9000001624, 05:12:53.95, +21:58:02.15
A04_148T01_9000002162, 23:11:00, +60:34:00
A04_148T02_9000002198, 21:43:57, +53:42:54
A04_148T03_9000002222, 01:33:23, +60:39:00
A04_164T01_9000001770, 3:22:41.719, -37:12:29.628
A04_167T02_9000001974, 14:28:31.7, +27:24:32
A04_167T04_9000001734, 00:49:47.8, +32:16:40
A04_167T05_9000002052, 12:31:59.1, +14:25:13
A04_176T01_9000001786, 08:55:34.6, 58:44:04
A04_176T02_9000001924, 12:25:48.8, +33:32:49
A04_176T04_9000001964, 13:29:52.7, +47:11:43
A04_183T02_9000001816, 04:48:00.8, +14:39:58
A04_196T02_9000001818, 12:06:39.90, +25:45:08.3
A04_196T04_9000001982, 12:58:18.23, +29:07:43.66
A04_199T01_9000002040, 8:54:48.875, 20:6:30.641
A04_201T01_9000001844, 11:58:37, +27:29:27
A04_201T03_9000002128, 11:10:59.24, +28:41:16.31
A04_209T01_9000002378, 1:36:41.748, 15:47:1.176
A04_210T01_9000001824, 5:3:6.595, 25:23:19.710
A04_210T02_9000001826, 4:58:51.413, 28:31:24.170
A04_210T03_9000001830, 4:44:54.454, 27:17:45.230
A04_210T04_9000001828, 4:14:13.582, 28:12:49.240
A04_212T01_9000001834, 11:27:59.899, 78:59:39.012
A04_212T02_9000002140, 11:36:02.99, 54:25:37.66
A04_212T03_9000002016, 12:46:56.450, 51:36:46.584
A04_218T01_9000002194, 13:49:19.277, -30:18:33.830
A04_218T03_9000002214, 22:54:5.896, -17:34:55.100
A04_218T03_9000002232, 22:54:5.896, -17:34:55.100
A04_218T04_9000002086, 18:35:3.390, 32:41:46.857
A04_218T08_9000002236, 19:21:14.128, -58:40:13.330
A04_219T01_9000002054, 12:24:54.458, 21:22:46.380
A04_222T01_9000002132, 9:55:52.726, 69:40:45.768
A04_224T05_9000002088, 17:25:04.3, +11:52:15
A04_227T01_9000001724, 1:27:32.551, 19:10:43.788
A05_002T07_9000002458, 4:17:54.350, -55:55:58.404
A05_002T09_9000002456, 4:15:45.130, -55:35:32.100
A05_002T10_9000002460, 4:16:10.471, -55:46:48.504
A05_004T02_9000002490, 0:39:58.55, 40:37:43.38
A05_004T03_9000002508, 0:39:12.37, 40:17:18.12
A05_004T03_9000002538, 0:39:12.37, 40:17:18.12
A05_004T04_9000002494, 0:42:02.42, 40:33:28.01
A05_004T04_9000002534, 0:42:02.42, 40:33:28.01
A05_004T05_9000002488, 0:39:14.02, 40:59:12.84
A05_004T06_9000002506, 0:37:54.46, 40:41:00.55
A05_004T06_9000002536, 0:37:54.46, 40:41:00.55
A05_004T07_9000002492, 0:40:46.47, 40:15:00.76
A05_007T06_9000002844, 16:49:17, +59:55:09
A05_007T06_9000003050, 16:49:17, +59:55:09
A05_010T02_9000002556, 3:33:00.00, -28:15:28.00
A05_012T01_9000002918, 9:26:3.293, 12:44:3.624
A05_012T02_9000002468, 9:48:42.614, 50:29:31.128
A05_012T02_9000002566, 9:48:42.614, 50:29:31.128
A05_012T02_9000002602, 9:48:42.614, 50:29:31.128
A05_013T01_9000002944, 13:24:59, -43:07:34
A05_013T01_9000003070, 13:24:59, -43:07:34
A05_019T01_9000002672, 03:24:41.1, +34:10:46
A05_019T01_9000002688, 03:24:41.1, +34:10:46
A05_019T01_9000002718, 03:24:41.1, +34:10:46
A05_022T08_9000002950, 13:18:54.809, -21:2:20.796
A05_022T08_9000002980, 13:18:54.809, -21:2:20.796
A05_022T08_9000003036, 13:18:54.809, -21:2:20.796
A05_022T09_9000003058, 19:9:46.099, -63:51:27.108
A05_025T04_9000002652, 05:14:06.76, -40:02:47.6
A05_025T04_9000003110, 05:14:06.76, -40:02:47.6
A05_025T16_9000002560, 06:48:59.41, -36:00:19.1
A05_025T17_9000002858, 16:26:25.99, -72:16:07.9
A05_025T17_9000003084, 16:26:25.99, -72:16:07.9
A05_025T18_9000002932, 18:18:37.60, -52:12:56.8
A05_025T18_9000003096, 18:18:37.60, -52:12:56.8
A05_034T01_9000002404, 20:41:51.159, -32:26:6.828
A05_037T01_9000003140, 19:42:40.576, -10:19:25.500
A05_037T01_9000003144, 19:42:40.576, -10:19:25.500
A05_041T01_9000003150, 00:33:37.60, +28:44:21.00
A05_046T01_9000002834, 17:28:19.901, -14:15:56.016
A05_046T01_9000002838, 17:28:19.901, -14:15:56.016
A05_056T01_9000002498, 03:33:50.00, -27:58:00.00
A05_056T01_9000002540, 03:33:50.00, -27:58:00.00
A05_056T01_9000002604, 03:33:50.00, -27:58:00.00
A05_059T03_9000002474, 01:01:29.4, -70:29:11.7
A05_059T04_9000002476, 01:04:40.4, -71:13:30.3
A05_059T05_9000002478, 01:08:12.9, -70:58:08.9
A05_059T07_9000002480, 01:13:04.4, -71:02:18.2
A05_063T02_9000002708, 11:42:50.97, +20:26:31.85
A05_063T03_9000002840, 16:29:51.04, +39:45:59.50
A05_063T03_9000003066, 16:29:51.04, +39:45:59.50
A05_064T01_9000002450, 11:36:26.4, +70:09:27
A05_064T01_9000002964, 11:36:26.4, +70:09:27
A05_068T01_9000002580, 08:51:18.00, 11:48:0.00
A05_069T01_9000002424, 20:51:31.59, +29:04:03.8
A05_069T02_9000002414, 20:49:02.08, +30:24:17.9
A05_069T02_9000002422, 20:49:02.08, +30:24:17.9
A05_069T02_9000003038, 20:49:02.08, +30:24:17.9
A05_069T03_9000002416, 20:47:32.63, +30:44:28.1
A05_069T03_9000002426, 20:47:32.63, +30:44:28.1
A05_069T04_9000002418, 20:49:42.24, +29:59:19.9
A05_069T04_9000002428, 20:49:42.24, +29:59:19.9
A05_069T05_9000002420, 20:51:09.85, +30:04:16.8
A05_072T02_9000002736, 13:12:55.30, +18:10:09.0
A05_072T02_9000002762, 13:12:55.30, +18:10:09.0
A05_072T04_9000002794, 16:41:46.85, +36:32:37.0
A05_072T04_9000002802, 16:41:46.85, +36:32:37.0
A05_072T04_9000003040, 16:41:46.85, +36:32:37.0
A05_072T04_9000003094, 16:41:46.85, +36:32:37.0
A05_072T05_9000002394, 19:39:59.71, -30:57:53.1
A05_074T02_9000002504, 0:37:41.107, -33:42:58.790
A05_074T02_9000002572, 0:37:41.107, -33:42:58.790
A05_075T01_9000002768, 12:35:44.0, +42:51:24.0
A05_075T03_9000002940, 13:08:42.0, +44:05:54.0
A05_075T05_9000002764, 14:33:54.0, +42:39:13.0
A05_075T05_9000003116, 14:33:54.0, +42:39:13.0
A05_075T06_9000002766, 14:26:33.0, +43:51:15.0
A05_075T06_9000003104, 14:26:33.0, +43:51:15.0
A05_075T07_9000002760, 14:38:29.0, +33:20:07.0
A05_075T08_9000002744, 15:02:09.0, +29:44:46.0
A05_075T09_9000002740, 15:21:39.0, +29:07:30.0
A05_075T10_9000002842, 15:43:31.0, 44:03:09.0
A05_078T01_9000002462, 0:24:5.359, -72:4:53.200
A05_082T08_9000002698, 12:33:51.612, 19:53:11.760
A05_082T09_9000002978, 12:57:41.050, 20:23:47.796
A05_082T09_9000003054, 12:57:41.050, 20:23:47.796
A05_082T10_9000002774, 13:36:38.347, 20:32:32.928
A05_082T12_9000002738, 14:27:22.834, 20:5:49.344
A05_082T12_9000002754, 14:27:22.834, 20:5:49.344
A05_083T01_9000002772, 13:42:11.227, 28:22:31.620
A05_084T04_9000002694, 3:26:17.251, -21:20:6.792
A05_084T06_9000002626, 3:35:16.589, -35:13:34.500
A05_085T01_9000002658, 06:00:47.944, -39:55:06.90
A05_088T02_9000002850, 16:37:43.89, +29:43:39.70
A05_088T02_9000003106, 16:37:43.89, +29:43:39.70
A05_088T03_9000002808, 16:00:43.60, +31:10:14.70
A05_088T03_9000003042, 16:00:43.60, +31:10:14.70
A05_088T05_9000002952, 14:24:00.08, +31:34:06.10
A05_088T05_9000003088, 14:24:00.08, +31:34:06.10
A05_094T01_9000002726, 7:55:25.296, 39:11:10.140
A05_094T01_9000003204, 7:55:25.296, 39:11:10.140
A05_096T04_9000002406, 4:39:49.640, -68:9:1.400
A05_096T06_9000002668, 5:37:43.001, -70:34:14.988
A05_097T01_9000002690, 14:07:17.52, +06:26:45.60
A05_101T01_9000002412, 20:58:32.899, -49:17:4.992
A05_101T02_9000002680, 3:30:40.790, -50:18:34.596
A05_101T03_9000002920, 20:41:13.870, -38:11:36.312
A05_101T03_9000003112, 20:41:13.870, -38:11:36.312
A05_101T04_9000002402, 21:30:43.390, -60:0:6.588
A05_101T05_9000002502, 22:47:20.419, -65:3:31.392
A05_101T05_9000002902, 22:47:20.419, -65:3:31.392
A05_101T05_9000002938, 22:47:20.419, -65:3:31.392
A05_101T06_9000002656, 1:14:22.529, -55:23:55.356
A05_101T07_9000002482, 1:37:25.500, -64:53:47.004
A05_101T08_9000002922, 20:22:59.765, -44:16:17.508
A05_101T08_9000003102, 20:22:59.765, -44:16:17.508
A05_101T09_9000002466, 23:42:32.950, -65:57:23.400
A05_101T10_9000002924, 20:16:57.300, -70:45:29.988
A05_101T10_9000003068, 20:16:57.300, -70:45:29.988
A05_103T01_9000002700, 12:04:09.39, +20:20:52.1
A05_103T02_9000002750, 07:42:24.90, -14:35:30.5
A05_103T05_9000002974, 16:17:09.53, -51:52:57.2
A05_103T05_9000003052, 16:17:09.53, -51:52:57.2
A05_103T06_9000003056, 17:13:32.62, -37:01:24.0
A05_104T02_9000002752, 8:11:14.700, 25:11:35.016
A05_104T03_9000002770, 13:58:35.801, 37:26:20.004
A05_104T04_9000002464, 23:47:1.699, 29:28:15.996
A05_104T04_9000003108, 23:47:1.699, 29:28:15.996
A05_104T05_9000002860, 15:34:57.254, 23:30:11.304
A05_104T05_9000003120, 15:34:57.254, 23:30:11.304
A05_104T06_9000002878, 12:1:53.299, -18:52:36.984
A05_104T07_9000002780, 12:30:33.701, 41:40:21.000
A05_104T08_9000002910, 12:36:32.710, 11:15:28.800
A05_104T08_9000002954, 12:36:32.710, 11:15:28.800
A05_107T01_9000002852, 16:53:52.217, +39:45:36.61
A05_108T01_9000002438, 23:57:00.74, -34:40:49.94
A05_108T01_9000003146, 23:57:00.74, -34:40:49.94
A05_108T02_9000002676, 12:57:04.32, -30:22:30.19
A05_109T01_9000002662, 11:16:54.6, +18:03:06
A05_115T01_9000002848, 12:57:59.71, 27:59:45.5
A05_115T01_9000003030, 12:57:59.71, 27:59:45.5
A05_115T02_9000002906, 12:57:08.62, 28:21:44.7
A05_115T03_9000002806, 13:00:09.64, 27:12:49.5
A05_115T03_9000003032, 13:00:09.64, 27:12:49.5
A05_117T01_9000002958, 21:58:52.06511, -30:13:32.1182
A05_117T01_9000002998, 21:58:52.06511, -30:13:32.1182
A05_117T01_9000003166, 21:58:52.06511, -30:13:32.1182
A05_118T02_9000002612, 10:43:31.1, +24:55:20
A05_118T04_9000002782, 12:15:39.2, +36:19:37
A05_144T02_9000002734, 6:42:55.140, 55:28:27.240
A05_144T02_9000003176, 6:42:55.140, 55:28:27.240
A05_149T03_9000002590, 11:14:52.80, +55:02:00.0
A05_149T04_9000002410, 21:07:01.80, +42:14:10.0
A05_155T02_9000003200, 5:47:1.889, -34:15:2.196
A05_155T04_9000002956, 14:40:26.119, 33:59:20.796
A05_155T04_9000003114, 14:40:26.119, 33:59:20.796
A05_156T01_9000002804, 14:10:32.14, +39:49:11.56
A05_160T01_9000002970, 22:32:33.4, +11:43:13.0
A05_160T01_9000003078, 22:32:33.4, +11:43:13.0
A05_160T02_9000002710, 12:24:54.3, +21:22:56.2
A05_160T02_9000003022, 12:24:54.3, +21:22:56.2
A05_163T01_9000002820, 17:43:57.8326, +19:35:09.017
A05_163T01_9000003010, 17:43:57.8326, +19:35:09.017
A05_163T01_9000003118, 17:43:57.8326, +19:35:09.017
A05_165T07_9000002796, 13:35:53.800, -34:17:43.780
A05_165T07_9000003062, 13:35:53.800, -34:17:43.780
A05_165T12_9000002562, 7:59:41.820, -38:43:55.999
A05_167T01_9000002758, 15:49:17.2, 21:49:42
A05_169T01_9000002558, 06:16:22.09, -21:22:21.80
A05_174T01_9000002440, 23:59:7.910, -30:37:40.690
A05_174T01_9000003008, 23:59:7.910, -30:37:40.690
A05_175T01_9000002894, 14:42:07.40, +35:26:23.00
A05_175T01_9000003004, 14:42:07.40, +35:26:23.00
A05_176T03_9000002778, 12:57:12.2076, 28:29:32.517
A05_176T03_9000003028, 12:57:12.2076, 28:29:32.517
A05_176T04_9000002942, 14:4:43.226, 54:53:33.468
A05_176T04_9000003034, 14:4:43.226, 54:53:33.468
A05_176T05_9000002706, 14:18:20.222, 7:35:33.104
A05_182T02_9000002392, 01:44:02.95, +61:53:20.3
A05_182T02_9000003202, 01:44:02.95, +61:53:20.3
A05_182T03_9000002516, 22:20:07.00, +58:07:41.0
A05_182T03_9000002576, 22:20:07.00, +58:07:41.0
A05_185T04_9000002548, 1:23:8.648, 34:20:48.560
A05_186T01_9000002692, 07:06:14.04, +30:14:00.40
A05_186T02_9000002624, 09:56:46.06, +28:49:43.68
A05_187T03_9000002748, 8:32:30.530, 15:49:26.192
A05_194T05_9000002592, 12:48:15.23, +17:46:26.44
A05_194T05_9000002702, 12:48:15.23, +17:46:26.44
A05_194T13_9000002814, 10:09:33.14, +23:22:55.8
A05_196T01_9000002584, 09:16:01.49, -36:37:37.4
A05_198T01_9000002578, 23:4:43.478, -8:41:8.628
A05_198T01_9000002586, 23:4:43.478, -8:41:8.628
A05_198T01_9000003014, 23:4:43.478, -8:41:8.628
A05_198T01_9000003024, 23:4:43.478, -8:41:8.628
A05_199T01_9000002732, 12:3:9.614, 44:31:52.788
A05_202T01_9000002484, 03:52:57.510, -68:31:16.80
A05_208T01_9000002614, 13:4:14.38, -10:20:22.56
A05_208T03_9000002874, 12:50:53.16, +41:7:12.72
A05_208T03_9000003026, 12:50:53.16, +41:7:12.72
A05_212T01_9000002454, 00:09:52.78, -18:16:12.5
A05_212T06_9000002776, 13:05:52.82, -38:31:00.0
A05_212T07_9000002746, 13:53:49.70, -17:36:38.0
A05_212T08_9000002396, 22:11:31.37, +18:05:34.2
A05_212T08_9000002934, 22:11:31.37, +18:05:34.2
A05_212T09_9000002398, 22:42:26.83, -50:04:00.9
A05_212T09_9000002886, 22:42:26.83, -50:04:00.9
A05_225T01_9000002470, 23:25:21.749, 28:29:42.756
A05_225T02_9000002510, 5:40:30.50, 69:22:42.4
A05_225T02_9000002526, 5:40:30.50, 69:22:42.4
A05_225T02_9000002570, 5:40:30.50, 69:22:42.4
A05_225T02_9000003100, 5:40:30.50, 69:22:42.4
A05_225T04_9000002400, 2:39:50.599, 18:1:27.408
A05_226T05_9000003148, 6:42:15.533, 75:37:32.628
A05_226T06_9000002792, 10:16:24.516, 37:54:45.972
A05_226T06_9000002800, 10:16:24.516, 37:54:45.972
A05_226T06_9000002864, 10:16:24.516, 37:54:45.972
A05_226T09_9000002884, 11:57:28.032, -19:37:26.616
A05_227T01_9000002966, 23:17:25.57, +60:50:43.3
A05_227T03_9000002862, 13:03:21.49, -62:13:26.2
A05_227T03_9000003086, 13:03:21.49, -62:13:26.2
A05_227T06_9000002730, 03:39:00.56, +29:41:45.6
A05_227T07_9000002666, 04:58:46.26, +29:50:36.9
A05_229T02_9000002890, 17:31:58.001, -33:50:7.008
A05_229T02_9000003060, 17:31:58.001, -33:50:7.008
A06_003T01_9000002786, 12:28:11.102, 44:5:37.068
A06_003T02_9000002926, 12:25:48.862, 33:32:48.948
A06_003T04_9000002682, 2:27:16.879, 33:34:45.012
A06_003T04_9000003046, 2:27:16.879, 33:34:45.012
A06_003T07_9000002818, 11:21:2.875, 53:10:10.452
A06_005T01_9000002788, 10:17:36.820, -46:24:44.899
A06_005T02_9000002996, 15:46:3.000, -37:47:11.101
A06_005T02_9000003048, 15:46:3.000, -37:47:11.101
A06_005T05_9000003136, 18:59:33.150, -36:37:53.100
