#ObservationID, RA, DEC
A06_005T09_9000003168, 21:40:22.120, -23:10:47.500
A06_006T01_9000002684, 03:32:29.69, -27:44:07.31
A06_006T01_9000002720, 03:32:29.69, -27:44:07.31
A06_006T01_9000002724, 03:32:29.69, -27:44:07.31
A07_001T01_9000003538, 05:08:45.17, -71:11:11.2
A07_001T06_9000003530, 04:55:41, -71:24:48
A07_005T01_9000003224, 08:00:01.0, -10:46:12
A07_007T02_9000003244, 0:45:27.20, 41:52:58.89
A07_007T03_9000003280, 0:46:52.70, 42:12:12.40
A07_007T03_9000003320, 0:46:52.70, 42:12:12.40
A07_007T04_9000003272, 0:42:50.57, 41:15:00.82
A07_007T04_9000003276, 0:42:50.57, 41:15:00.82
A07_007T04_9000003310, 0:42:50.57, 41:15:00.82
A07_007T05_9000003274, 0:44:08.88, 41:33:26.45
A07_010T04_9000003220, 4:8:53.750, -55:59:22.416
A07_010T05_9000003236, 4:9:51.840, -56:7:6.384
A07_010T06_9000003238, 4:10:59.861, -56:28:49.584
A07_010T11_9000003240, 04:14:36.54, -56:03:38.9
A07_010T12_9000003582, 04:27:38.11, -55:01:40.1
A07_011T01_9000003482, 14:29:04.00, +52:52:12.00
A07_018T02_9000003288, 20:48:29.32, +29:43:23.8
A07_018T02_9000003292, 20:48:29.32, +29:43:23.8
A07_018T02_9000003684, 20:48:29.32, +29:43:23.8
A07_018T07_9000003294, 20:52:31.64, +29:40:54.2
A07_018T07_9000003680, 20:52:31.64, +29:40:54.2
A07_018T08_9000003296, 20:50:19.98, +29:41:51.3
A07_018T08_9000003622, 20:50:19.98, +29:41:51.3
A07_018T09_9000003682, 20:46:49.07, +31:28:40.2
A07_024T04_9000003484, 12:43:42.63, +16:23:36.2
A07_027T01_9000003690, 1:47:42.84, -52:45:42.84
A07_027T02_9000003258, 23:34:27.48, -36:6:3.96
A07_027T02_9000003640, 23:34:27.48, -36:6:3.96
A07_027T03_9000003528, 3:31:31.39, -51:54:17.64
A07_027T05_9000003506, 3:19:41.04, -19:24:40.32
A07_027T06_9000003508, 3:37:28.32, -24:30:4.68
A07_027T08_9000003514, 4:17:35.76, -62:47:1.32
A07_027T09_9000003512, 5:5:14.45, -37:58:50.88
A07_027T10_9000003592, 9:10:20.11, +7:2:16.44
A07_027T11_9000003668, 12:36:49.82, +13:9:46.44
A07_027T12_9000003664, 12:43:56.64, +13:7:35.04
A07_027T14_9000003510, 12:56:43.70, +21:40:57.72
A07_027T15_9000003562, 13:37:32.06, +8:53:6.36
A07_027T16_9000003222, 23:9:47.28, -43:25:40.44
A07_027T16_9000003642, 23:9:47.28, -43:25:40.44
A07_027T16_9000003666, 23:9:47.28, -43:25:40.44
A07_039T01_9000003216, 2:13:8.73, -74:10:12.62
A07_039T02_9000003212, 02:07:10.31, -74:07:03.0
A07_039T03_9000003214, 02:01:14.17, -74:09:51.6
A07_041T01_9000003234, 20:09:25.39, -48:49:53.7
A07_045T01_9000003628, 12:27:45.5938, +13:00:31.775
A07_046T01_9000003498, 13:16:27.09, +17:42:00.9
A07_047T01_9000003572, 00:58:12.8, -70:45:47.8
A07_047T02_9000003574, 00:59:47.6, -71:07:14.0
A07_047T06_9000003576, 01:11:28.9, -70:40:04.4
A07_047T08_9000003262, 01:15:11.1, -71:21:55.8
A07_047T08_9000003302, 01:15:11.1, -71:21:55.8
A07_047T08_9000003384, 01:15:11.1, -71:21:55.8
A07_047T08_9000003590, 01:15:11.1, -71:21:55.8
A07_047T09_9000003260, 01:17:01.3, -71:44:01.1
A07_047T09_9000003300, 01:17:01.3, -71:44:01.1
A07_047T09_9000003386, 01:17:01.3, -71:44:01.1
A07_047T09_9000003396, 01:17:01.3, -71:44:01.1
A07_049T01_9000003298, 22:07:52.3933, +31:21:33.646
A07_049T01_9000003344, 22:07:52.3933, +31:21:33.646
A07_049T01_9000003358, 22:07:52.3933, +31:21:33.646
A07_049T01_9000003380, 22:07:52.3933, +31:21:33.646
A07_049T01_9000003408, 22:07:52.3933, +31:21:33.646
A07_054T01_9000003286, 08:19:28.980, +70:42:19.296
A07_054T01_9000003348, 08:19:28.980, +70:42:19.296
A07_054T01_9000003370, 08:19:28.980, +70:42:19.296
A07_054T01_9000003378, 08:19:28.980, +70:42:19.296
A07_054T01_9000003406, 08:19:28.980, +70:42:19.296
A07_054T01_9000003486, 08:19:28.980, +70:42:19.296
A07_054T01_9000003504, 08:19:28.980, +70:42:19.296
A07_059T01_9000003218, 01:42:19.69, +51:34:31.7
A07_059T05_9000003252, 21:33:08.307, +39:38:09.52
A07_059T07_9000003704, 20:20:08.76, +16:43:53.99
A07_062T01_9000003392, 01:57:41, +37:47:06
A07_065T01_9000003284, 09:50:22.4, +31:29:16.0
A07_065T01_9000003338, 09:50:22.4, +31:29:16.0
A07_065T01_9000003554, 09:50:22.4, +31:29:16.0
A07_067T01_9000003578, 15:59:09.62, +35:01:47.56
A07_069T01_9000003570, 08:51:18.00, 11:48:0.00
A07_091T03_9000003678, 21:42:55.98, -30:07:57.91
A07_091T04_9000003394, 13:08:19.12, +43:45:25.6
A07_091T04_9000003492, 13:08:19.12, +43:45:25.6
A07_091T05_9000003584, 11:08:40.12, +34:05:52.23
A07_091T07_9000003254, 07:48:20.67, +47:12:14.23
A07_091T10_9000003520, 13:37:37.13, +20:23:51.7
A07_091T10_9000003532, 13:37:37.13, +20:23:51.7
A07_094T01_9000003248, 23:31:52.1789, +19:56:14.1505
A07_097T01_9000003692, 23:3:15.674, 8:52:25.280
A07_100T03_9000003242, 06:15:36.3, +71:02:15
A07_101T02_9000003544, 16:53:52.22, +39:45:36.72
A07_112T01_9000003360, 12:09:17.70, +29:55:39.00
A07_112T01_9000003478, 12:09:17.70, +29:55:39.00
A07_112T02_9000003480, 12:28:44.20, +43:13:27.00
A07_113T01_9000003526, 16:57:49.810, 35:20:32.399
A07_118T01_9000003232, 19:45:01, -14:48:55
A07_118T01_9000003586, 19:45:01, -14:48:55
A07_127T01_9000003468, 12:48:22.9, +08:29:15
A07_127T02_9000003460, 00:36:04.0, +23:57:28
A07_127T03_9000003662, 22:46:03.7, -11:00:04
A07_130T01_9000003246, 00:37:02.56, +39:58:20.5
A07_134T01_9000003256, 22:31:02.19, -20:47:52.77
A07_134T02_9000003282, 07:29:02.7, +13:14:48.4
A07_134T02_9000003568, 07:29:02.7, +13:14:48.4
A07_134T03_9000003670, 20:31:33.20, -07:05:18.0
A07_135T01_9000003452, 10:49:40.496, +09:00:23.217
A07_135T02_9000003450, 16:22:55.530, +15:46:10.955
A07_138T01_9000003466, 11:02:33.35, +22:45:13.72
A07_138T02_9000003464, 11:07:04.17, +45:49:19.62
A07_138T03_9000003412, 12:09:23.63, +62:09:55.96
A07_138T04_9000003462, 13:27:04.36, +48:19:36.32
A07_138T05_9000003410, 14:24:57.53, +24:15:17.82
A07_138T06_9000003456, 14:30:31.19, +52:42:25.84
A07_138T08_9000003268, 16:12:24.61, +48:31:49.60
A07_138T09_9000003458, 16:47:54.90, +44:33:45.05
A07_145T01_9000003594, 16:53:52.217, +39:45:36.609
A07_147T01_9000003490, 12:43:57.60, +16:22:54.00
A07_147T01_9000003624, 12:43:57.60, +16:22:54.00
A07_148T02_9000003444, 13:34:40.770, -23:26:45.200
A07_148T02_9000003474, 13:34:40.770, -23:26:45.200
A07_148T05_9000003346, 11:36:29.100, 21:35:47.004
A07_148T05_9000003446, 11:36:29.100, 21:35:47.004
A07_149T01_9000003266, 03:18:16.0, -66:29:54.0
A07_149T01_9000003304, 03:18:16.0, -66:29:54.0
A07_149T01_9000003534, 03:18:16.0, -66:29:54.0
A07_153T02_9000003250, 04:28:00.00, -47:54:45.90
A07_160T05_9000003580, 09:25:12.85, 52:17:10.4
A07_160T07_9000003494, 12:18:26.52, 29:48:46.5
A07_165T01_9000003558, 15:46:52.80, -78:12:51.10
A07_167T01_9000003264, 05:26:49.912, -66:05:42.99
A07_171T02_9000003686, 13:25:34.08, -54:14:43.129
A08_003T01_9000003342, 12:25:25.518, 16:28:12.020
A08_003T02_9000003630, 12:33:19.772, 12:51:12.770
A08_003T03_9000003632, 12:27:26.504, 11:6:27.582
A08_003T04_9000003634, 12:18:49.625, 14:24:59.360
A08_003T05_9000003426, 12:22:54.932, 15:49:20.294
A08_003T06_9000003636, 12:36:49.816, 13:9:46.330
A08_003T08_9000003638, 12:43:35.0, 13:7:34.860
A08_003T09_9000003644, 12:37:43.597, 11:49:5.120
A08_003T13_9000003646, 12:26:11.814, 12:56:45.490
A08_003T15_9000003648, 12:33:39.657, 9:10:29.540
A08_003T16_9000003650, 12:32:41.744, 14:3:5.810
A08_003T16_9000003676, 12:32:41.744, 14:3:5.810
A08_003T17_9000003656, 12:30:57.112, 11:29:0.713
A08_003T18_9000003658, 12:41:25.411, 13:43:45.890
A08_004T02_9000003436, 04:39:49.64, -68:9:1.400
A08_004T02_9000003496, 04:39:49.64, -68:9:1.400
A08_004T03_9000003400, 00:19:49.92528, +21:56:52.166
A08_004T03_9000003438, 00:19:49.92528, +21:56:52.166
A08_008T01_9000003414, 5:39:38.829, -69:44:35.533
A08_008T01_9000003596, 5:39:38.829, -69:44:35.533
A08_008T02_9000003430, 5:38:56.299, -64:5:3.003
A08_009T01_9000003382, 12:36:51.00, +62:17:38.67
A08_009T01_9000003422, 12:36:51.00, +62:17:38.67
A08_009T01_9000003434, 12:36:51.00, +62:17:38.67
A08_009T01_9000003516, 12:36:51.00, +62:17:38.67
A09_006T01_9000003700, 14:4:25.925, -17:13:40.550
A09_022T01_9000003702, 14:39:00.21, +64:17:29.98
A09_027T01_9000003694, 10:03:00.35, +68:49:26.63
A09_027T02_9000003696, 09:59:54.19, +68:38:16.87
A09_057T04_9000003712, 23:14:48.50, -43:35:59.8
A09_059T01_9000003706, 14:19:04, +52:52:12
A09_061T02_9000003708, 13:39:35.06, -67:22:51.76
C02_002T01_9000000888, 3:55:21.990, 9:47:17.999
C02_008T01_9000000884, 3:55:21.990, 9:47:17.999
C02_010T01_9000000860, 0:13:1.010, 72:31:19.094
C02_016T01_9000000858, 00:48:19.2, 85:13:26.1
C02_016T01_9000000992, 00:48:19.2, 85:13:26.1
C02_028T01_9000001146, 12:13:56.250, 32:56:31.402
C02_028T02_9000001428, 23:19:35.380, -17:5:28.500
C02_030T01_9000001168, 00:48:19.2, 85:13:26.1
C02_045T01_9000001342, 01:09:46, -71:20:30
C02_045T02_9000001492, 01:08:26, -71:20:30
C02_045T03_9000001558, 01:09:46, -71:26:30
C03_013T01_9000001586, 3:55:21.990, 9:47:17.999
C03_014T01_9000001804, 01:09:46, -71:20:30
C03_014T02_9000001806, 01:08:26, -71:20:30
C03_014T03_9000001808, 01:09:46, -71:26:30
C03_015T01_9000001788, 00:48:19.2, 85:13:26.1
C03_015T02_9000002008, 00:48:19.2, 85:13:26.1
C03_015T03_9000002366, 00:48:19.2, 85:13:26.1
C03_015T04_9000002240, 00:48:19.2, 85:13:26.1
C03_015T04_9000002328, 00:48:19.2, 85:13:26.1
C03_015T04_9000002382, 00:48:19.2, 85:13:26.1
C03_016T01_9000001596, 15:49:28.92937, 47:06:17.6520
C04_009T01_9000002448, 00:48:19.2, 85:13:26.1
C04_009T02_9000002618, 00:48:19.2, 85:13:26.1
C04_009T03_9000002674, 00:48:19.2, 85:13:26.1
C04_009T03_9000002714, 00:48:19.2, 85:13:26.1
C04_009T04_9000002866, 00:48:19.2, 85:13:26.1
C04_009T05_9000002946, 00:48:19.2, 85:13:26.1
C04_009T05_9000002968, 00:48:19.2, 85:13:26.1
C04_009T06_9000002960, 00:48:19.2, 85:13:26.1
C04_010T01_9000003158, 03:55:21.990, 09:47:17.999
C04_011T01_9000002664, 01:41:28.74, 83:34:58.9
C05_013T01_9000003350, 00:48:19.2, 85:13:26.1
C05_013T01_9000003398, 00:48:19.2, 85:13:26.1
C05_013T02_9000003364, 00:48:19.2, 85:13:26.1
C05_013T02_9000003502, 00:48:19.2, 85:13:26.1
C05_013T03_9000003376, 00:48:19.2, 85:13:26.1
C05_013T04_9000003660, 00:48:19.2, 85:13:26.1
G05_009T01_9000000482, 14:5:27.290, 28:32:3.998
G05_009T02_9000000618, 0:52:45.240, -26:34:57.400
G05_045T01_9000000468, 11:15:44.563, 42:58:22.440
G05_083T01_9000000494, 12:06:17.0, 63:38:19.0
G05_083T02_9000000498, 14:32:22.7, 56:51:08.4
G05_083T03_9000000566, 14:53:23.4, 39:04:13.6
G05_152T01_9000000676, 04:45:42.50, -59:14:50.00
G05_152T02_9000000658, 23:18:47.81, -42:19:43.68
G05_152T03_9000000488, 12:18:57.50, 47:18:14.40
G05_152T04_9000000480, 12:50:53.06, 41:07:13.80
G05_172T01_9000000502, 9:00:10.79, -45:30:30.18
G05_173T01_9000000514, 08:59:12.703, -45:59:55
G05_178T01_9000000692, 07:29:02.7, +13:14:48.4
G05_182T01_9000000484, 12:55:33.8, +25:53:30.6
G05_187T01_9000000690, 22:29:38.5, -20:50:13.6
G05_204T01_9000000688, 08:19:29.81, 70:42:18.2
G05_207T01_9000000596, 20:48:20.00, 29:56:47.00
G05_209T01_9000000458, 00:48:19.2, 85:13:26.1
G05_211T01_9000000464, 12:21:21.943, 30:10:37.161
G05_212T01_9000000600, 05:38:56.21, -64:04:56.1
G05_212T01_9000000672, 05:38:56.21, -64:04:56.1
G05_215T01_9000000586, 20:45:41.00, 31:06:55.00
G05_218T01_9000001394, 22:32:36.408, 11:43:50.880
G05_218T04_9000000640, 2:38:38.930, 16:36:59.275
G05_218T05_9000000602, 16:53:52.217, 39:45:36.609
G05_219T01_9000000540, 12:39:39.492, -5:20:39.160
G05_222T01_9000000520, 0:1:58.162, -15:27:39.348
G05_230T02_9000000548, 1:41:0.380, -67:53:27.398
G05_230T04_9000000550, 15:9:26.010, -66:49:23.300
G05_230T05_9000000648, 5:43:20.170, -41:1:54.300
G05_230T06_9000001350, 16:21:47.280, -22:53:10.298
G05_233T10_9000000570, 14:03:43.64, 54:18:26.2
G05_234T02_9000000474, 11:32:39.6, 52:56:25.0
G05_235T01_9000000590, 00:54:53.5, -37:41:04
G05_238T01_9000001364, 23:3:15.674, 8:52:25.280
G05_239T02_9000000496, 11:00:52.0, +10:04:25.9
G05_240T01_9000000536, 03:32:12.56, -27:53:08.79
G05_240T01_9000000674, 03:32:12.56, -27:53:08.79
G05_240T02_9000000670, 03:33:05.46, -27:39:01.68
G05_243T01_9000000682, 19:15:11.550, 10:56:44.801
G05_246T02_9000000504, 13:35:54, -34:17:44
G05_246T02_9000001106, 13:35:54, -34:17:44
G05_246T03_9000000470, 14:17:06, 44:56:06
G05_246T03_9000000516, 14:17:06, 44:56:06
G05_246T03_9000000990, 14:17:06, 44:56:06
G05_246T04_9000000472, 12:03:09, 44:31:52
G05_246T04_9000000882, 12:03:09, 44:31:52
G05_248T01_9000000486, 12:03:09.60, 44:31:53.0
G05_250T01_9000000568, 18:16:16.776, 54:10:21.620
G05_251T02_9000000588, 1:09:52.044, -71:18:20.22
G05_253T03_9000000562, 17:46:15.608, -32:14:0.600
G05_256T01_9000000538, 00:48:19.2, 85:13:26.1
G05_258T01_9000000666, 00:48:19.2, 85:13:26.1
G06_002T01_9000000742, 23:18:23.5, -42:22:14
G06_016T01_9000001052, 12:36:59.350, 14:19:49.332
G06_019T01_9000000796, 0:41:50.38, -9:19:37.20
G06_024T01_9000000780, 23:57:49.827, -32:35:27.710
G06_027T01_9000000770, 19:15:11.550, 10:56:44.801
G06_028T01_9000000768, 19:58:21.676, 35:12:5.778
G06_028T01_9000000834, 19:58:21.676, 35:12:5.778
G06_028T01_9000001094, 19:58:21.676, 35:12:5.778
G06_028T01_9000001122, 19:58:21.676, 35:12:5.778
G06_029T01_9000000964, 5:34:31.940, 22:0:52.200
G06_029T02_9000000974, 12:13:55.2, 22:48:0.00
G06_051T01_9000000972, 12:29:25.70, +12:19:13.1
G06_060T01_9000000726, 20:56:52.41, 31:12:44.48
G06_065T01_9000000868, 00:13:01.0, +72:31:19.1
G06_066T01_9000000928, 04:09:16.98, +30:46:33.5
G06_067T01_9000000872, 07:57:51.6, 53:25:16.9
G06_068T01_9000000930, 08:46:53.492, +17:52:46.83
G06_071T01_9000001088, 17:13:33.37, -36:58:21.5
G06_077T01_9000001090, 12:59:48.701, 27:58:50.016
G06_077T02_9000001076, 17:12:24.7, -23:21:01
G06_084T01_9000000710, 22:17:55.380, -8:21:3.899
G06_086T01_9000000774, 19:59:59.85, +65:08:54.65
G06_086T02_9000000936, 11:03:37.61, -23:29:31.11
G06_087T01_9000000926, 04:20:00.4, -54:56:16
G06_087T02_9000001016, 13:55:39.9, +40:27:42
G06_087T03_9000000696, 22:35:46.2, -26:03:02
G06_087T04_9000001028, 13:13:27.4, +36:35:38
G06_117T01_9000001012, 12:10:32.574, 39:24:20.880
G06_117T01_9000001046, 12:10:32.574, 39:24:20.880
G06_117T01_9000001086, 12:10:32.574, 39:24:20.880
G06_124T01_9000001054, 13:13:30.790, -19:32:47.904
G06_126T01_9000000716, 20:56:35.06, 30:58:30.17
G06_129T01_9000000718, 20:46:22.60, 30:21:6.40
G06_130T01_9000000782, 1:3:14.260, -70:50:55.601
G06_132T01_9000000728, 22:29:49.730, -48:0:11.002
G06_132T01_9000000784, 22:29:49.730, -48:0:11.002
G06_132T01_9000000838, 22:29:49.730, -48:0:11.002
G06_134T03_9000000894, 00:59:54.1, -59:43:30
G06_134T06_9000000878, 01:40:36.2, +23:44:58
G06_134T11_9000000870, 11:55:20.9, +65:43:11
G06_135T01_9000000908, 04:03:54.3, -43:20:55.9
G06_135T02_9000000918, 08:14:40.0, +49:03:41.2
G06_135T03_9000000944, 14:05:01.6, +53:39:43.9
G06_136T01_9000001148, 14:49:25.4, +14:56:41.0
G06_136T02_9000000876, 10:43:21.1, +41:56:49.5
G06_137T01_9000001000, 12:57:08.62, 27:21:44.7
G06_137T02_9000001002, 13:00:33.49, 27:47:22.7
G06_138T01_9000001020, 12:57:08.62, 27:21:44.7
G06_138T03_9000001096, 13:02:05.70, 28:17:16.4
G06_139T01_9000000700, 21:51:2.8, -8:33:36.6
G06_139T02_9000000862, 1:57:50.0, 13:00:00.0
G06_139T05_9000000804, 00:51:26.0, -27:07:42.0
G06_145T01_9000000816, 23:13:16.976, 57:10:6.082
G06_145T01_9000000914, 23:13:16.976, 57:10:6.082
G06_151T01_9000000836, 01:36:41.78, 15:47:0.60
G06_151T02_9000001010, 12:15:32.93, 36:17:01
G06_154T01_9000001100, 12:58:51.0, +27:43:0.0
G06_154T02_9000001102, 12:58:0.0, +28:00:0.0
G06_154T03_9000000996, 11:44:36.5, +19:50:0.0
G06_154T04_9000000998, 11:44:50.0, +20:15:21.0
G06_157T01_9000000772, 1:23:45.748, -58:48:20.648
G06_157T02_9000001008, 12:18:26.484, 29:48:46.150
G06_164T01_9000000844, 8:18:22.18, 61:27:38.52
G06_164T01_9000000866, 8:18:22.18, 61:27:38.52
G06_164T01_9000000896, 8:18:22.18, 61:27:38.52
G06_164T01_9000000922, 8:18:22.18, 61:27:38.52
G06_164T01_9000000946, 8:18:22.18, 61:27:38.52
G06_164T01_9000000968, 8:18:22.18, 61:27:38.52
G06_164T01_9000001004, 8:18:22.18, 61:27:38.52
G06_164T01_9000001040, 8:18:22.18, 61:27:38.52
G06_168T01_9000000786, 00:04:55.4, -24:24:19
G06_168T02_9000000790, 00:33:14.3, -10:43:43
G06_168T04_9000000820, 01:09:29.1, -52:24:34
G06_168T05_9000000810, 01:37:05.4, -15:04:24
G06_168T07_9000000750, 03:13:00.4, -67:08:39
G06_168T10_9000000932, 10:29:15.2, +17:29:28
G06_168T13_9000000942, 12:04:41.4, +12:01:11.5
G06_168T15_9000001110, 12:39:05.1, +47:37:51
G06_168T16_9000001112, 12:48:27.1, +61:43:59
G06_168T20_9000001092, 13:53:49.7, 17:36:38
G06_168T22_9000001108, 16:28:50.7, +54:37:03
G06_168T23_9000000706, 17:01:43.9, +16:09:03
G06_168T25_9000000830, 23:10:25.4, -13:18:35
G06_169T01_9000000846, 8:52:35.811, 28:19:50.947
G06_169T01_9000000886, 8:52:35.811, 28:19:50.947
G06_169T01_9000001070, 8:52:35.811, 28:19:50.947
G07_002T01_9000001316, 14:53:51.567, +18:39:04.79
G07_002T02_9000001432, 23:36:25.054, +21:09:02.64
G07_003T01_9000001290, 13:47:24.5, -30:24:25
G07_003T02_9000001564, 22:20:44.7, -24:40:42
G07_004T01_9000001532, 2:22:33.413, 42:20:56.940
G07_005T01_9000001430, 0:1:58.162, -15:27:39.348
G07_005T02_9000001214, 10:28:23.479, 68:24:43.704
G07_007T01_9000001196, 8:51:18.000, 11:48:0.000
G07_009T01_9000001318, 20:45:55, 31:03:30.0
G07_010T01_9000001220, 12:57:59.71, 27:59:45.5
G07_010T02_9000001222, 12:57:11.21, 28:31:12.1
G07_010T03_9000001224, 13:00:09.64, 27:12:49.5
G07_011T01_9000001518, 00:15:13.19, -39:13:0.8
G07_011T03_9000001476, 19:44:56.2, -14:47:51.3
G07_011T04_9000001466, 23:04:56.67, 12:19:22.4
G07_013T01_9000001456, 20:18:18.7, -70:48:45
G07_013T02_9000001216, 09:21:11.9, 64:12:47
G07_022T01_9000001322, 14:53:41.060, -55:21:38.700
G07_022T02_9000001434, 19:38:35.810, -46:12:56.999
G07_024T01_9000001206, 8:41:24.360, 70:53:42.360
G07_030T01_9000001338, 20:56:35.06, 30:58:30.17
G07_031T01_9000001402, 22:29:38.5, -20:50:13.6
G07_032T01_9000001554, 22:30:27.60, -20:49:47.5
G07_033T01_9000001254, 11:15:46.71, +55:02:32.61
G07_034T01_9000001134, 07:41:54.91, -18:12:29.7
G07_035T01_9000001396, 21:36:42.96, +12:46:34.30
G07_051T01_9000001550, 21:46:42.4, -8:36:39.5
G07_051T02_9000001526, 1:11:13.4, +19:28:32.8
G07_057T01_9000001520, 02:17:59.64, +14:32:38.6
G07_057T02_9000001504, 03:33:36.37, -36:08:25.4
G07_057T03_9000001552, 05:42:4.65, +69:22:42.4
G07_057T04_9000001264, 13:25:44.06, -29:50:01.2
G07_060T01_9000001200, 12:18:26.48, 29:48:46.1
G07_062T01_9000001560, 8:10:58.669, 76:2:42.486
G07_063T01_9000001336, 20:47:38.97, +30:03:02.84
G07_066T01_9000001510, 03:42:01.55, -47:13:19.49
G07_068T01_9000001502, 04:03:54.3, -43:20:56.0
G07_068T02_9000001508, 04:03:32.6, -43:24:00.0
G07_069T01_9000001332, 16:19:35.700, 52:46:30.000
G07_069T01_9000001356, 16:19:35.700, 52:46:30.000
G07_070T01_9000001138, 09:53:33.4, -19:34:59
G07_070T02_9000001262, 14:51:14.4, +35:32:32
G07_076T01_9000001538, 02:43:3.68, +32:26:44.3
G07_076T02_9000001320, 15:18:22.67, -24:02:26.98
G07_076T03_9000001314, 18:33:55, +22:53:18.0
G07_076T04_9000001172, 12:12:32.48, +29:10:1.6
G07_077T01_9000001306, 14:08:27.79, +48:55:56.8
G07_077T02_9000001308, 14:10:44.44, +48:41:37.69
G07_077T03_9000001310, 14:09:51.01, +48:26:39.25
G07_077T04_9000001312, 14:45:07.157, +38:45:09.85
G07_080T03_9000001154, 08:38:28.80, +53:54:36.6
G07_084T03_9000001174, 13:31:47.761, +66:31:33.88
G07_086T01_9000001142, 11:01:51.9, -34:42:17.0
G07_086T02_9000001144, 11:32:18.3, -31:19:51.8
G07_087T01_9000001228, 13:25:27.615, -43:1:8.805
G08_002T01_9000002072, 13:04:06.345, +19:17:12.80
G08_006T01_9000001728, 00:24:36.8, -74:28:37.3
G08_006T02_9000001730, 01:45:10.5, -74:40:54.8
G08_006T03_9000001732, 02:06:56.7, -74:41:44.12
G08_006T04_9000001812, 00:24:46, -72:47:42.5
G08_009T01_9000001692, 21:57:20.95, -07:50:46.2
G08_009T01_9000001696, 21:57:20.95, -07:50:46.2
G08_010T01_9000001672, 0:47:33.120, -25:17:17.592
G08_010T02_9000002188, 12:39:59.431, -11:37:22.980
G08_010T03_9000001800, 9:22:2.655, 50:58:35.320
G08_012T01_9000002370, 01:33:50.8, 30:43:36
G08_014T01_9000002104, 20:47:45.007, -36:35:40.790
G08_019T01_9000002166, 20:50:46.31, +31:56:38.2
G08_020T01_9000002168, 20:48:08.94, +31:51:22.9
G08_023T01_9000001978, 13:26:24.55, -42:50:40.56
G08_024T01_9000001776, 09:10:56.46, +58:05:36.69
G08_024T02_9000002094, 16:23:19.63, +16:22:46.63
G08_024T03_9000001774, 08:47:34.00, +57:57:17.19
G08_026T01_9000002154, 20:48:32.5, +31:09:09
G08_029T01_9000002010, 09:52:58.99, +13:44:34.9
G08_031T01_9000001702, 00:47:33, -25:17:18
G08_031T01_9000002314, 00:47:33, -25:17:18
G08_031T02_9000001934, 12:16:42.1, 69:27:45
G08_031T03_9000001972, 09:32:10.1, 21:30:03
G08_034T01_9000001944, 13:53:40.9, 40:19:07
G08_034T02_9000002136, 22:35:57.5, 33:57:36
G08_046T09_9000001600, 15:49:28.92937, +47:06:17.6520
G08_046T09_9000002358, 15:49:28.92937, +47:06:17.6520
G08_048T01_9000001752, 03:17:18.60, -41:06:29.05
G08_057T09_9000002174, 15:49:28.92937, +47:06:17.6520
G08_059T01_9000002150, 20:50:46.31, +31:56:38.2
G08_060T01_9000001736, 7:36:51.396, 65:36:9.170
G08_061T01_9000001938, 15:48:34.42, +28:09:24.3
G08_064T01_9000001814, 12:10:32.574, 39:24:20.880
G08_064T01_9000002070, 12:10:32.574, 39:24:20.880
G08_065T01_9000001796, 9:25:12.871, 52:17:10.495
G08_066T01_9000002138, 00:53:59.30, -27:08:35.88
G08_066T02_9000002346, 02:34:37.87, -08:47:17.16
G08_066T04_9000002122, 20:23:54.96, -50:39:06.48
G08_071T01_9000001888, 12:3:9.686, 44:31:52.540
G08_071T02_9000001620, 23:3:15.674, 8:52:25.280
G08_072T01_9000002272, 18:55:2.350, -31:9:48.960
G08_072T03_9000001836, 5:29:25.500, -32:49:5.016
G08_076T01_9000002056, 15:38:39.7, +59:21:21.9
G08_076T02_9000002164, 13:27:54.3, -29:37:5.0
G08_076T03_9000001768, 02:34:47.6, +32:50:37.0
G08_077T01_9000001970, 12:36:51.0, +62:17:38.67
G08_081T01_9000002144, 20:32:15.28, +37:38:14.9
G08_081T01_9000002178, 20:32:15.28, +37:38:14.9
G08_081T01_9000002350, 20:32:15.28, +37:38:14.9
G08_082T01_9000001986, 13:35:53.800, -34:17:43.780
G08_083T01_9000002134, 14:03:12.5, 54:20:56.0
G08_083T02_9000001840, 11:00:23.9, 28:58:30
G08_083T03_9000002022, 11:18:16.5, -32:48:51
G08_083T04_9000001760, 02:43:29.9, +37:20:27
G08_084T01_9000002100, 16:32:16.79, -67:27:39.3
T01_034T01_9000000392, 00:48:19.2, 85:13:26.1
T01_051T01_9000000390, 1:41:28.740, 83:34:58.901
T01_055T01_9000000394, 3:55:21.990, 9:47:17.999
T01_055T01_9000000408, 3:55:21.990, 9:47:17.999
T01_057T01_9000000380, 04:09:45.0, +17:00:00
T01_071T01_9000000382, 05:14:06.76, -40:02:47.6
T01_105T01_9000000402, 15:32:23.21, -08:32:00.91
T01_106T01_9000000404, 15:12:50.533, -9:5:59.830
T01_112T01_9000000406, 5:34:31.940, 22:0:52.06
T01_135T01_9000000632, 22:07:52.36, +31:21:33.32
T01_136T01_9000000662, 03:17:18.6, -41:06:29.05
T01_137T01_9000000694, 22:19:49.418, -40:40:04.65
T01_145T01_9000000916, 01:57:43.79, -73:37:32.3
T01_151T01_9000000960, 3:19:48.160, 41:30:42.103
T01_155T01_9000001042, 5:34:31.940, 22:0:52.200
T01_163T01_9000001152, 8:54:48.87, 20:6:30.64
T01_172T01_9000001250, 20:34:44.238, +60:11:36
